name,price,url,views_cnt,city,seller,seller_rating,comments_cnt
Этно украшения,249.0,https://www.avito.ru/derbent/chasy_i_ukrasheniya/etno_ukrasheniya_4677055146?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,150,Дербент,Amina,,2
Украшения в стиле этно,700.0,https://www.avito.ru/mahachkala/chasy_i_ukrasheniya/ukrasheniya_v_stile_etno_4465377539?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,284,Махачкала,Амина,,7
Серьги этно бохо посеребрение 5,380.0,https://www.avito.ru/moskva/chasy_i_ukrasheniya/sergi_etno_boho_poserebrenie_5_7245056280?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,86,Москва,Elena,,156
Этно украшения: набор перстней,150.0,https://www.avito.ru/petrozavodsk/chasy_i_ukrasheniya/etno_ukrasheniya_nabor_perstney_4259637892?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,66,Петрозаводский г.о.,Ксения,,118
Этно украшения,100.0,https://www.avito.ru/mahachkala/chasy_i_ukrasheniya/etno_ukrasheniya_4031698460?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,2169,Махачкала,Сайка,,4
Этно украшение,500.0,https://www.avito.ru/smolensk/chasy_i_ukrasheniya/etno_ukrashenie_4531298346?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,90,Смоленск,жанна,,88
Этно кольцо,200.0,https://www.avito.ru/ufa/chasy_i_ukrasheniya/etno_koltso_3750331615?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6ImI0ZzJRZHBkYlVYdUYzVFciO32a_MFeJgAAAA,1824,Уфа,Карина,,27
Этно-украшение браслет кольцо,950.0,https://www.avito.ru/levashi/chasy_i_ukrasheniya/etno-ukrashenie_braslet_koltso_4515116895?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,68,Левашинский р-н,Nafisa,,5
Этно бижутерия,150.0,https://www.avito.ru/mahachkala/chasy_i_ukrasheniya/etno_bizhuteriya_3319662038?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,3772,Махачкала,Safa-Shop,,1
Этно украшения кольца и браслеты,450.0,https://www.avito.ru/astrahan/chasy_i_ukrasheniya/etno_ukrasheniya_koltsa_i_braslety_2919817015?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,4583,Астрахань,Зоя,,15
Украшения бусы этно бижутерия ручная работа,250.0,https://www.avito.ru/moskva/chasy_i_ukrasheniya/ukrasheniya_busy_etno_bizhuteriya_ruchnaya_rabota_2755804457?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,264,Москва,Виктория,,18
"Пришивные монетки, фурнитура этно-украшения",800.0,https://www.avito.ru/ufa/chasy_i_ukrasheniya/prishivnye_monetki_furnitura_etno-ukrasheniya_4584683474?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,73,Уфа,Марфуга,,33
"Винтажные украшения в этно стиле,Индия,Дубаи",700.0,https://www.avito.ru/moskva/odezhda_obuv_aksessuary/vintazhnye_ukrasheniya_v_etno_stileindiyadubai_2844912447?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,2039,Москва,Елена,,86
"Браслеты, серьги, кольцо этно",580.0,https://www.avito.ru/bahchisaray/chasy_i_ukrasheniya/braslety_sergi_koltso_etno_2757154662?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,585,Бахчисарайский р-н,Лариса,,1
Этно украшения,450.0,https://www.avito.ru/astrahan/chasy_i_ukrasheniya/etno_ukrasheniya_4167593301?slocation=637640&context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6IkhoSUZhTXhXUXNSY2pscWMiO31aKuogJgAAAA,856,Астрахань,SZ,,1
